time,plg_id,min,avg,max
2018-09-30,10050,1.0,3.0,9.0
2018-10-04,10050,1.0,3.0,9.0
2018-10-08,10050,1.0,3.0,9.0
2018-10-12,10050,1.0,3.0,9.0
2018-10-16,10050,1.0,2.0,9.0
2018-10-20,10050,1.0,2.0,9.0
2018-10-24,10050,1.0,1.0,9.0
2018-10-28,10050,1.0,1.0,9.0
2018-11-01,10050,1.0,3.0,9.0
2018-11-05,10050,1.0,2.0,9.0
2018-11-09,10050,1.0,2.0,9.0
2018-11-13,10050,1.0,2.0,9.0
2018-11-17,10050,1.0,2.0,9.0
2018-11-21,10050,1.0,2.0,9.0
2018-11-25,10050,1.0,2.0,9.0
2018-11-29,10050,1.0,2.0,9.0
2018-12-03,10050,1.0,3.0,9.0
2018-12-07,10050,1.0,3.0,9.0
2018-12-11,10050,1.0,3.0,9.0
2018-12-15,10050,1.0,4.0,9.0
2018-12-19,10050,1.0,4.0,9.0
2018-12-23,10050,1.0,4.0,9.0
2018-12-27,10050,1.0,3.0,9.0
2018-12-31,10050,1.0,2.0,9.0
2019-01-01,10110,1.0,3.0,9.0
2019-01-05,10110,1.0,3.0,9.0
2019-01-09,10110,1.0,3.0,9.0
2019-01-13,10110,1.0,3.0,9.0
2019-01-17,10110,1.0,3.0,9.0
2019-01-21,10110,1.0,3.0,9.0
2019-01-25,10110,1.0,3.0,9.0
2019-01-29,10110,1.0,3.0,9.0
2019-02-02,10110,1.0,3.0,9.0
2019-02-06,10110,1.0,3.0,9.0
2019-02-10,10110,1.0,3.0,9.0
2019-02-14,10110,1.0,3.0,9.0
2019-02-18,10110,1.0,3.0,9.0
2019-02-22,10110,1.0,2.0,9.0
2019-02-26,10110,1.0,3.0,9.0
2019-03-02,10110,1.0,2.0,9.0
2019-03-06,10110,1.0,2.0,9.0
2019-03-10,10110,1.0,2.0,9.0
2019-03-14,10110,1.0,2.0,9.0
2019-03-18,10110,1.0,2.0,9.0
2019-03-22,10110,1.0,2.0,9.0
2019-03-26,10110,1.0,2.0,9.0
2019-03-30,10110,1.0,2.0,9.0
2019-04-03,10110,1.0,2.0,9.0
2019-04-07,10110,1.0,2.0,9.0
